company_id,from_year,to_year,previous_pattern,current_pattern
CANBK,Mar 2018,Mar 2019,Growth Funded by Debt,Reinvestor
CANBK,Mar 2019,Mar 2020,Reinvestor,Growth Funded by Debt
CANBK,Mar 2020,Mar 2021,Growth Funded by Debt,Mixed
CANBK,Mar 2022,Mar 2023,Mixed,Growth Funded by Debt
CANBK,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
CHOLAFIN,Mar 2013,Mar 2014,Distress Signal,Growth Funded by Debt
CHOLAFIN,Mar 2021,Mar 2022,Growth Funded by Debt,Distress Signal
CHOLAFIN,Mar 2022,Mar 2023,Distress Signal,Growth Funded by Debt
CIPLA,Mar 2013,Mar 2014,Mixed,Reinvestor
CIPLA,Mar 2014,Mar 2015,Reinvestor,Mixed
CIPLA,Mar 2016,Mar 2017,Mixed,Reinvestor
CIPLA,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
CIPLA,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
COALINDIA,Mar 2013,Mar 2014,Reinvestor,Liquidating Assets
COALINDIA,Mar 2017,Mar 2018,Liquidating Assets,Reinvestor
COALINDIA,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
COALINDIA,Mar 2021,Mar 2022,Liquidating Assets,Reinvestor
DABUR,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
DABUR,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
DIVISLAB,Mar 2016,Mar 2017,Reinvestor,Mixed
DIVISLAB,Mar 2017,Mar 2018,Mixed,Reinvestor
DIVISLAB,Mar 2020,Mar 2021,Reinvestor,Liquidating Assets
DIVISLAB,Mar 2021,Mar 2022,Liquidating Assets,Reinvestor
DLF,Mar 2015,Mar 2016,Liquidating Assets,Reinvestor
DLF,Mar 2016,Mar 2017,Reinvestor,Distress Signal
DLF,Mar 2017,Mar 2018,Distress Signal,Reinvestor
DLF,Mar 2018,Mar 2019,Reinvestor,Cash Accumulator
DLF,Mar 2019,Mar 2020,Cash Accumulator,Liquidating Assets
DLF,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
DLF,Mar 2023,Mar 2024,Reinvestor,Mixed
DMART,Mar 2017,Mar 2018,Mixed,Liquidating Assets
DMART,Mar 2018,Mar 2019,Liquidating Assets,Mixed
DMART,Mar 2020,Mar 2021,Mixed,Reinvestor
EICHERMOT,Mar 2016,Mar 2017,Reinvestor,Mixed
EICHERMOT,Mar 2017,Mar 2018,Mixed,Reinvestor
GAIL,Mar 2013,Mar 2014,Mixed,Reinvestor
GAIL,Mar 2019,Mar 2020,Reinvestor,Mixed
GAIL,Mar 2020,Mar 2021,Mixed,Reinvestor
GAIL,Mar 2022,Mar 2023,Reinvestor,Mixed
GAIL,Mar 2023,Mar 2024,Mixed,Reinvestor
GODREJCP,Mar 2013,Mar 2014,Mixed,Reinvestor
GODREJCP,Mar 2016,Mar 2017,Reinvestor,Mixed
GODREJCP,Mar 2017,Mar 2018,Mixed,Reinvestor
GODREJCP,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
GODREJCP,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
GODREJCP,Mar 2023,Mar 2024,Reinvestor,Mixed
GRASIM,Mar 2013,Mar 2014,Mixed,Reinvestor
